dataset,graph,model,n_bert_errors,also_wrong,same_class_as_bert,same_class_confident
setfit_ag_news,constituency,distilled,471,0.8874734607218684,0.8789808917197452,0.6263269639065817
setfit_ag_news,constituency,gold-trained,471,0.8726114649681529,0.8535031847133758,0.28662420382165604
setfit_ag_news,syntactic,distilled,471,0.8747346072186837,0.8662420382165605,0.554140127388535
setfit_ag_news,syntactic,gold-trained,471,0.8662420382165605,0.8450106157112527,0.2526539278131635
setfit_ag_news,window,distilled,471,0.8747346072186837,0.8641188959660298,0.6050955414012739
setfit_ag_news,window,gold-trained,471,0.8683651804670913,0.8450106157112527,0.25690021231422505
setfit_ag_news,skipgrams,distilled,471,0.8683651804670913,0.8535031847133758,0.6050955414012739
setfit_ag_news,skipgrams,gold-trained,471,0.8641188959660298,0.8428874734607219,0.31210191082802546
stanfordnlp_sst2,constituency,distilled,73,0.9178082191780822,0.9178082191780822,0.5068493150684932
stanfordnlp_sst2,constituency,gold-trained,73,0.8904109589041096,0.8904109589041096,0.2602739726027397
stanfordnlp_sst2,syntactic,distilled,73,0.8904109589041096,0.8904109589041096,0.5616438356164384
stanfordnlp_sst2,syntactic,gold-trained,73,0.9178082191780822,0.9178082191780822,0.3424657534246575
stanfordnlp_sst2,window,distilled,73,0.8904109589041096,0.8904109589041096,0.5753424657534246
stanfordnlp_sst2,window,gold-trained,73,0.9041095890410958,0.9041095890410958,0.3835616438356164
stanfordnlp_sst2,skipgrams,distilled,73,0.9041095890410958,0.9041095890410958,0.5205479452054794
stanfordnlp_sst2,skipgrams,gold-trained,73,0.8904109589041096,0.8904109589041096,0.3561643835616438
