dataset,method,graph,target,feature,n_valid,mean_when_correct,mean_when_error,auroc_error_oriented
setfit_ag_news,graphsvx,constituency,bert_correct,jaccard_k20,7600,0.09677555576280403,0.0905213766182723,0.5220602491125778
setfit_ag_news,graphsvx,constituency,bert_correct,jaccard_top5,7600,0.07696598066916484,0.07811815455127556,0.4987475277409725
setfit_ag_news,graphsvx,constituency,bert_correct,spearman,7600,0.03037585188648712,0.017519130624552154,0.5197575228001772
setfit_ag_news,graphsvx,constituency,bert_correct,top1_match,7600,0.03142095665591247,0.03184713375796178,0.49978691144897536
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,jaccard_k20,7600,0.09683103001847251,0.09096461412970087,0.5230894507310329
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,jaccard_top5,7600,0.07689296897238827,0.07880509927548254,0.5006635384153036
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,spearman,7600,0.030424287421899482,0.019233301736350187,0.5166568970801334
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,top1_match,7600,0.030742954739538857,0.04006968641114982,0.4953366341641945
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,jaccard_k20,7600,0.0967771063986315,0.08570031535232733,0.5475841343145831
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,jaccard_top5,7600,0.07703272226659655,0.0771654479519648,0.518072323001403
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,spearman,7600,0.03003877163096974,0.016953731284755243,0.5216516481086219
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,top1_match,7600,0.030819582708304923,0.04868913857677903,0.4910652220657629
setfit_ag_news,graphsvx,syntactic,bert_correct,jaccard_k20,7600,0.10645179829207356,0.1055538440156878,0.4996744852742558
setfit_ag_news,graphsvx,syntactic,bert_correct,jaccard_top5,7600,0.08400908874327308,0.0852205708893607,0.49699501959491443
setfit_ag_news,graphsvx,syntactic,bert_correct,spearman,7600,0.02623155576761349,0.036943539617581886,0.48381792737358464
setfit_ag_news,graphsvx,syntactic,bert_correct,top1_match,7600,0.03282367793519428,0.050955414012738856,0.4909341319612277
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,jaccard_k20,7600,0.10634844960552169,0.1069466567897075,0.4949944129385773
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,jaccard_top5,7600,0.08415489921066129,0.08326785059458328,0.5005254385890404
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,spearman,7600,0.02659886375391147,0.030318011769539324,0.4915373007131997
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,top1_match,7600,0.032456391192450675,0.05115511551155116,0.49065063784044977
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,jaccard_k20,7600,0.10645652598800014,0.10500899616711815,0.5025609528433832
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,jaccard_top5,7600,0.08419803456189562,0.08146812878674077,0.5103564283273221
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,spearman,7600,0.027025121943485473,0.023915473541933536,0.5006440823472492
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,top1_match,7600,0.03309075930248524,0.05362776025236593,0.4897314995250597
setfit_ag_news,graphsvx,window,bert_correct,jaccard_k20,7600,0.1138569928951314,0.11641021443254349,0.49477687350402466
setfit_ag_news,graphsvx,window,bert_correct,jaccard_top5,7600,0.08880227641624754,0.09498534020827015,0.48986615775581277
setfit_ag_news,graphsvx,window,bert_correct,spearman,7600,0.04687026800393085,0.04648946573310109,0.49706798492685145
