dataset,graph,model,n_bert_errors,also_wrong,same_class_as_bert,same_class_confident
setfit_ag_news,constituency,distilled,471,0.8365180467091295,0.8152866242038217,0.5456475583864119
setfit_ag_news,constituency,gold-trained,471,0.8004246284501062,0.7558386411889597,0.26963906581740976
setfit_ag_news,syntactic,distilled,471,0.821656050955414,0.7919320594479831,0.4968152866242038
setfit_ag_news,syntactic,gold-trained,471,0.7367303609341825,0.70276008492569,0.21868365180467092
setfit_ag_news,window,distilled,471,0.832271762208068,0.7961783439490446,0.524416135881104
setfit_ag_news,window,gold-trained,471,0.8004246284501062,0.7515923566878981,0.24203821656050956
setfit_ag_news,skipgrams,distilled,471,0.8365180467091295,0.802547770700637,0.5371549893842887
setfit_ag_news,skipgrams,gold-trained,471,0.7537154989384289,0.7197452229299363,0.23354564755838642
stanfordnlp_sst2,constituency,distilled,73,0.7123287671232876,0.7123287671232876,0.410958904109589
stanfordnlp_sst2,constituency,gold-trained,73,0.6575342465753424,0.6575342465753424,0.3013698630136986
stanfordnlp_sst2,syntactic,distilled,73,0.7671232876712328,0.7671232876712328,0.410958904109589
stanfordnlp_sst2,syntactic,gold-trained,73,0.7397260273972602,0.7397260273972602,0.1917808219178082
stanfordnlp_sst2,window,distilled,73,0.7534246575342466,0.7534246575342466,0.410958904109589
stanfordnlp_sst2,window,gold-trained,73,0.6986301369863014,0.6986301369863014,0.2465753424657534
stanfordnlp_sst2,skipgrams,distilled,73,0.7123287671232876,0.7123287671232876,0.4246575342465753
stanfordnlp_sst2,skipgrams,gold-trained,73,0.6712328767123288,0.6712328767123288,0.3561643835616438
